id,floor,max_floor,size,rent,maintenance_fee,deposit,key_money,layout,year_built,nearest_station,location,url
14975,5,9,23.81,91800,8200,91800,0,1K,2002,3,Kandasudacho| Chiyoda-ku| Tokyo,http://www.realestate.co.jp/rent/view/131336
19357,3,3,106.72,280000,8000,560000,560000,3LDK,1987,8,Okusawa| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/298422
15293,2,2,50.42,171000,12000,171000,171000,1LDK,2008,12,Himonya| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/156566
9955,8,8,20.25,73000,6000,73000,73000,1K,2008,5,Nakamura| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/439577
12395,1,3,20.81,79500,3540,0,79500,1K,2011,4,Kamishakujii| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/63644
20161,4,7,20.59,76000,6000,76000,76000,1K,2007,5,Higashikomagata| Sumida-ku| Tokyo,http://www.realestate.co.jp/rent/view/351739
13992,2,3,42.73,78000,2000,0,0,2DK,1990,10,Shibamata| Katsushika-ku| Tokyo,http://www.realestate.co.jp/rent/view/228244
12316,7,5,34.52,123000,6000,246000,0,1LDK,1997,12,Todoroki| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/509516
12243,9,9,21.96,115000,18000,230000,230000,1R,1989,7,Tabatashimmachi| Kita-ku| Tokyo,http://www.realestate.co.jp/rent/view/426890
18295,9,12,44.5,153000,10000,153000,0,1LDK,2005,4,Minato| Chuo-ku| Tokyo,http://www.realestate.co.jp/rent/view/299919
18608,13,13,58.16,320000,0,320000,0,1LDK,1995,4,Takanawa| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/248670
8400,8,14,51.94,170000,10000,340000,170000,1LDK,1998,12,Ebisu| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/503238
8838,2,2,22.35,76000,4000,0,76000,1K,2010,7,Akabanekita| Kita-ku| Tokyo,http://www.realestate.co.jp/rent/view/507236
8249,10,14,30.0,152000,10000,0,304000,1K,2006,4,Nibancho| Chiyoda-ku| Tokyo,http://www.realestate.co.jp/rent/view/366256
20493,2,6,39.38,180000,5000,180000,180000,1LDK,2000,1,Minamiazabu| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/395575
9415,2,2,20.85,96000,4000,0,96000,1K,1993,8,Mukogaoka| Bunkyo-ku| Tokyo,http://www.realestate.co.jp/rent/view/400912
8276,4,6,20.39,80000,10000,0,0,1K,2001,5,Mita| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/473431
11118,3,3,25.21,125000,8000,125000,0,1K,2017,4,Uehara| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/468797
7039,5,5,25.68,119000,19000,119000,238000,1LDK,2016,5,Sumida| Sumida-ku| Tokyo,http://www.realestate.co.jp/rent/view/509451
20516,3,4,11.42,43000,3000,0,0,1R,1990,5,Shakujiimachi| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/388333
21054,2,4,19.04,74000,4500,0,0,1K,1991,8,Waseda tsurumakicho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/176250
14166,2,5,34.5,123000,7000,123000,123000,1DK,2001,5,Sangenjaya| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/254263
14517,2,6,61.78,188000,12000,188000,188000,1LDK,1998,14,Higashi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/216558
17501,9,15,34.98,143000,10000,143000,0,1LDK,2006,4,Kitashinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/290000
15882,9,9,59.57,185000,10000,370000,185000,2LDK,2008,9,Taito| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/436532
16824,3,3,25.51,85000,5000,85000,0,1DK,1986,9,Ikebukuro (2-4-chome)| Toshima-ku| Tokyo,http://www.realestate.co.jp/rent/view/393219
10417,8,8,79.3,498000,0,1494000,0,2LDK,2002,4,Nishigokencho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/485669
12280,4,8,55.17,199000,12000,0,0,2LDK,2017,5,Takinogawa| Kita-ku| Tokyo,http://www.realestate.co.jp/rent/view/493675
11061,1,2,32.0,90000,0,90000,90000,1LDK,1980,9,Shimoma| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/445040
17649,29,43,90.0,550000,0,1100000,550000,2LDK,2009,8,Akasaka| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/351309
9570,1,5,22.08,52500,6500,0,52500,1K,1990,4,Nerima| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/493837
10797,2,3,44.98,132000,3000,132000,132000,1LDK,2014,2,Zoshigaya| Toshima-ku| Tokyo,http://www.realestate.co.jp/rent/view/358216
15547,5,10,19.37,64000,6000,64000,0,1K,1980,4,Nihombashikoamicho| Chuo-ku| Tokyo,http://www.realestate.co.jp/rent/view/185174
14057,4,4,70.2,127000,0,127000,127000,3LDK,1997,10,Omorihigashi| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/415345
11839,3,3,41.0,120000,3000,120000,0,2DK,1988,11,Tsurumaki| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/476542
7222,3,3,20.71,42000,15000,0,0,1K,1993,19,Midoricho| Koganei-shi| Tokyo,http://www.realestate.co.jp/rent/view/431132
15413,23,35,59.88,193000,10000,193000,0,2LDK,1995,5,Shinkawa| Chuo-ku| Tokyo,http://www.realestate.co.jp/rent/view/392623
9591,1,1,55.0,160000,0,0,0,1LDK,1976,6,Higashigotanda| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/167564
21884,9,9,54.89,183000,10000,183000,0,2LDK,2008,5,Kotobashi| Sumida-ku| Tokyo,http://www.realestate.co.jp/rent/view/187446
9845,1,2,26.37,64000,10500,0,64000,1K,2011,5,Yazakicho| Fuchu-shi| Tokyo,http://www.realestate.co.jp/rent/view/501938
20549,2,3,11.18,50000,5000,50000,0,1R,1987,4,Futaba| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/391752
13933,2,2,23.18,50000,3000,0,50000,1K,2005,20,Shimmachi| Fuchu-shi| Tokyo,http://www.realestate.co.jp/rent/view/452293
8311,2,2,30.96,125000,5000,125000,0,1SDK,2017,7,Midorigaoka| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/456610
7043,5,5,40.31,91000,17000,91000,0,1K,2017,5,Higashiueno| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/486988
9312,1,2,21.9,65000,5500,0,65000,1K,2010,16,Osugi| Edogawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/485614
10511,1,3,180.82,800000,0,2400000,0,3LDK,1989,12,Kamiosaki| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/474647
20756,3,9,25.52,78000,5000,78000,78000,1R,2002,8,Nakaochiai| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/350219
21893,3,3,14.2,87000,3000,0,0,1R,2004,3,Shinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/473710
22282,9,2,96.49,29800,10000,0,30000,3LDK,1983,7,Shimoma| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/493633
12720,13,13,56.51,235000,10000,235000,235000,1LDK,2003,1,Shirokanedai| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/446347
16133,5,5,33.8,164000,10000,328000,0,1DK,2008,3,Roppongi| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/290503
7204,10,11,33.06,128400,11600,128400,128400,1DK,2012,6,Omorikita| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/502705
22001,5,5,41.08,234000,10000,468000,0,2LDK,2004,8,Minamiazabu| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/285883
10809,1,5,40.49,129000,5000,129000,129000,1LDK,2015,6,Nishigokencho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/389855
22385,10,10,49.63,275000,0,550000,0,2LDK,1999,5,Roppongi| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/417250
15018,1,3,37.63,120000,5000,120000,0,1DK,1977,3,Sanno| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/224741
13589,15,15,47.67,287000,15000,287000,287000,1LDK,2014,6,Shibuya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/486765
10975,4,13,58.02,222000,9000,222000,0,1LDK,2003,1,Kojimachi| Chiyoda-ku| Tokyo,http://www.realestate.co.jp/rent/view/474648
13621,1,2,23.71,45000,8040,0,22500,1K,2005,20,Tangimachi| Hachioji-shi| Tokyo,http://www.realestate.co.jp/rent/view/392168
18201,2,7,42.58,223000,0,223000,223000,1LDK,2015,9,Ebisu| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/322589
10045,2,4,33.78,89000,5000,178000,0,2K,1993,2,Akatsutsumi| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/455517
12446,4,4,17.49,71500,5040,0,71500,1K,1993,7,Senzoku| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/345804
17299,19,38,90.0,550000,0,1100000,550000,3LDK,2009,4,Mita| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/299753
20572,3,7,35.88,109000,6000,109000,109000,1DK,1977,5,Aobadai| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/456237
22455,1,11,76.14,215000,0,215000,215000,3LDK,2000,8,Higashishinagawa| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/483914
13199,5,10,18.3,89000,6000,89000,0,1R,1998,8,Aobadai| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/296011
11956,1,8,30.33,149000,10000,149000,0,1DK,2005,5,Higashi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/162094
20752,4,4,23.08,78000,5000,78000,78000,1K,2003,9,Takadanobaba| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/350110
21743,2,9,25.34,107000,5000,107000,107000,1DK,2016,7,Waseda tsurumakicho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/398165
8291,2,3,49.94,124500,13000,0,0,1LDK,2015,7,Nishimagome| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/474157
14152,11,11,20.34,75200,6800,75200,75200,1K,2005,3,Kitaotsuka| Toshima-ku| Tokyo,http://www.realestate.co.jp/rent/view/401868
18285,11,11,21.47,282000,18000,282000,0,2LDK,2006,4,Nishishinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/155134
14569,20,20,66.12,364000,15000,728000,364000,3LDK,2005,7,Shibaura(2-4-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/509259
8512,4,4,16.57,94000,0,0,0,1K,1990,9,Asahigaoka| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/446694
11971,2,3,19.87,57000,4000,0,0,1K,2008,9,Nishiarai| Adachi-ku| Tokyo,http://www.realestate.co.jp/rent/view/122931
13158,5,5,16.57,57000,6500,0,0,1R,1992,2,Setagaya| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/401236
8863,3,3,17.82,90000,5000,90000,90000,1R,2016,1,Yoyogi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/508838
16554,5,10,45.75,90000,5000,90000,0,2DK,1980,4,Kameido| Koto-ku| Tokyo,http://www.realestate.co.jp/rent/view/143390
22372,2,2,10.0,49000,0,20000,0,Private,1974,3,Kamijujo| Kita-ku| Tokyo,http://www.realestate.co.jp/rent/view/378163
14457,8,8,17.31,71000,6000,71000,71000,1K,2017,3,Shimochiai| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/401806
